,0,totals
Num Programming Practice,550,550
Num Programming Theory,550,550
Num Compute Cycles Practice,7238000,7238000
Num Compute Cycles Theory,7238000,7238000
SRAM Input Reads,57575000,57575000
SRAM Filter Reads,35000,35000
SRAM Output Writes,526400,526400
DRAM Input Reads,306306000,306306000
DRAM Filter Reads,35200,35200
DRAM Output Writes,526400,526400
Accumulator Dumps,5,5
SRAM DRAM Input  Misses (Batch),4400,4400
SRAM DRAM Filter Misses (Batch),550,550
