,0,totals
Num Programming Practice,275,275
Num Programming Theory,275,275
Num Compute Cycles Practice,452375,452375
Num Compute Cycles Theory,452375,452375
SRAM Input Reads,7196875,7196875
SRAM Filter Reads,35000,35000
SRAM Output Writes,65800,65800
DRAM Input Reads,69615,69615
DRAM Filter Reads,35200,35200
DRAM Output Writes,65800,65800
Accumulator Dumps,1,1
SRAM DRAM Input  Misses (Batch),1,1
SRAM DRAM Filter Misses (Batch),275,275
