,0,totals
Num Programming Practice,1100,1100
Num Programming Theory,1100,1100
Num Compute Cycles Practice,1809500,1809500
Num Compute Cycles Theory,1809500,1809500
SRAM Input Reads,14393750,14393750
SRAM Filter Reads,35000,35000
SRAM Output Writes,65800,65800
DRAM Input Reads,69615,69615
DRAM Filter Reads,35200,35200
DRAM Output Writes,65800,65800
Accumulator Dumps,1,1
SRAM DRAM Input  Misses (Batch),1,1
SRAM DRAM Filter Misses (Batch),1100,1100
