,0,totals
Num Programming Practice,280,280
Num Programming Theory,280,280
Num Compute Cycles Practice,460600,460600
Num Compute Cycles Theory,460600,460600
SRAM Input Reads,14393750,14393750
SRAM Filter Reads,35000,35000
SRAM Output Writes,65800,65800
DRAM Input Reads,69615,69615
DRAM Filter Reads,35840,35840
DRAM Output Writes,65800,65800
Accumulator Dumps,1,1
SRAM DRAM Input  Misses (Batch),1,1
SRAM DRAM Filter Misses (Batch),280,280
