,0,totals
Num Programming Practice,165,165
Num Programming Theory,165,165
Num Compute Cycles Practice,271425,271425
Num Compute Cycles Theory,271425,271425
SRAM Input Reads,4318125,4318125
SRAM Filter Reads,35000,35000
SRAM Output Writes,65800,65800
DRAM Input Reads,69615,69615
DRAM Filter Reads,42240,42240
DRAM Output Writes,65800,65800
Accumulator Dumps,1,1
SRAM DRAM Input  Misses (Batch),1,1
SRAM DRAM Filter Misses (Batch),165,165
