,0,totals
Num Programming Practice,80,80
Num Programming Theory,80,80
Num Compute Cycles Practice,968000,968000
Num Compute Cycles Theory,968000,968000
SRAM Input Reads,14229600,14229600
SRAM Filter Reads,9408,9408
SRAM Output Writes,774400,774400
DRAM Input Reads,150528,150528
DRAM Filter Reads,10240,10240
DRAM Output Writes,774400,774400
Accumulator Dumps,2,2
SRAM DRAM Input  Misses (Batch),1,1
SRAM DRAM Filter Misses (Batch),80,80
