,0,totals
Num Programming Practice,304,304
Num Programming Theory,304,304
Num Compute Cycles Practice,3678400,3678400
Num Compute Cycles Theory,3678400,3678400
SRAM Input Reads,28459200,28459200
SRAM Filter Reads,9408,9408
SRAM Output Writes,774400,774400
DRAM Input Reads,150528,150528
DRAM Filter Reads,9728,9728
DRAM Output Writes,774400,774400
Accumulator Dumps,4,4
SRAM DRAM Input  Misses (Batch),1,1
SRAM DRAM Filter Misses (Batch),304,304
