,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name
DRAM Filter Reads,689776.0,726080.0,726080.0,871296.0,1161728.0,1161728.0,2323456.0,690080.0,726400.0,726400.0,871680.0,1162240.0,1162240.0,2324480.0,690688.0,727040.0,727040.0,872448.0,1163264.0,1163264.0,2326528.0,690688.0,727040.0,727040.0,872448.0,1163264.0,1163264.0,2326528.0,690688.0,727040.0,727040.0,872448.0,1163264.0,1163264.0,2326528.0,690688.0,727040.0,727040.0,872448.0,1163264.0,1163264.0,2326528.0,700416.0,737280.0,737280.0,884736.0,1179648.0,1179648.0,2359296.0
DRAM Output Writes,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0
Total Weights Programming Cycles,43111.0,22690.0,11345.0,6807.0,4538.0,2269.0,2269.0,21565.0,11350.0,5675.0,3405.0,2270.0,1135.0,1135.0,10792.0,5680.0,2840.0,1704.0,1136.0,568.0,568.0,5396.0,2840.0,1420.0,852.0,568.0,284.0,284.0,2698.0,1420.0,710.0,426.0,284.0,142.0,142.0,1349.0,710.0,355.0,213.0,142.0,71.0,71.0,684.0,360.0,180.0,108.0,72.0,36.0,36.0
Total Vector Segments Processed,13450632.0,7079280.0,3539640.0,2123784.0,1415856.0,707928.0,707928.0,6728280.0,3541200.0,1770600.0,1062360.0,708240.0,354120.0,354120.0,3367104.0,1772160.0,886080.0,531648.0,354432.0,177216.0,177216.0,1683552.0,886080.0,443040.0,265824.0,177216.0,88608.0,88608.0,841776.0,443040.0,221520.0,132912.0,88608.0,44304.0,44304.0,420888.0,221520.0,110760.0,66456.0,44304.0,22152.0,22152.0,213408.0,112320.0,56160.0,33696.0,22464.0,11232.0,11232.0
Accumulator Dumps,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ADCs Area,0.19,0.38,0.76,1.52,3.04,6.08,12.16,0.19,0.38,0.76,1.52,3.04,6.08,12.16,0.19,0.38,0.76,1.52,3.04,6.08,12.16,0.19,0.38,0.76,1.52,3.04,6.08,12.16,0.19,0.38,0.76,1.52,3.04,6.08,12.16,0.19,0.38,0.76,1.52,3.04,6.08,12.16,0.19,0.38,0.76,1.52,3.04,6.08,12.16
PS Area,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ODAC Drivers Area,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0096,0.0096,0.0096,0.0096,0.0096,0.0096,0.0096,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0384,0.0384,0.0384,0.0384,0.0384,0.0384,0.0384,0.0768,0.0768,0.0768,0.0768,0.0768,0.0768,0.0768,0.1536,0.1536,0.1536,0.1536,0.1536,0.1536,0.1536,0.3072,0.3072,0.3072,0.3072,0.3072,0.3072,0.3072
PCM Heaters Area,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRM Heaters Area,0.0276,0.0276,0.0552,0.0828,0.138,0.2484,0.4692,0.0276,0.0276,0.0552,0.0828,0.138,0.2484,0.4692,0.0552,0.0552,0.0552,0.0828,0.138,0.2484,0.4692,0.0828,0.0828,0.0828,0.1104,0.1656,0.276,0.4968,0.138,0.138,0.138,0.1656,0.2208,0.3312,0.552,0.2484,0.2484,0.2484,0.276,0.3312,0.4416,0.6624,0.4692,0.4692,0.4692,0.4968,0.552,0.6624,0.8832
