,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name
SRAM Output Writes,65800.0,65800.0,65800.0,526400.0,526400.0,526400.0,1052800.0,1052800.0,1052800.0,2105600.0,2105600.0,2105600.0,4211200.0,4211200.0,4211200.0,8422400.0,8422400.0,8422400.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0
DRAM Input Reads,69615.0,69615.0,69615.0,306306000.0,306306000.0,306306000.0,612612000.0,612612000.0,612612000.0,1225224000.0,1225224000.0,1225224000.0,2450448000.0,2450448000.0,2450448000.0,4900896000.0,4900896000.0,4900896000.0,69615.0,69615.0,69615.0,69615.0,69615.0,69615.0,69615.0,69615.0,69615.0,69615.0,69615.0,69615.0,69615.0,69615.0,69615.0,69615.0,69615.0,69615.0,69615.0,69615.0,69615.0,69615.0,69615.0,69615.0,69615.0,69615.0,69615.0,69615.0,69615.0,69615.0,69615.0,69615.0,69615.0,69615.0,69615.0,69615.0,69615.0,69615.0,69615.0,69615.0,69615.0,69615.0,69615.0,69615.0,69615.0,69615.0,69615.0,69615.0,69615.0,69615.0,69615.0,69615.0,69615.0,69615.0,69615.0,69615.0,69615.0,69615.0,69615.0,69615.0,69615.0,69615.0,69615.0,69615.0,69615.0,69615.0,69615.0,69615.0,69615.0,69615.0,69615.0,69615.0
DRAM Filter Reads,35200.0,35200.0,35200.0,35200.0,35200.0,35200.0,35200.0,35200.0,35200.0,35200.0,35200.0,35200.0,35200.0,35200.0,35200.0,35200.0,35200.0,35200.0,35200.0,35200.0,35200.0,42240.0,42240.0,42240.0,56320.0,56320.0,56320.0,56320.0,56320.0,56320.0,112640.0,112640.0,112640.0,225280.0,225280.0,225280.0,35040.0,35040.0,35040.0,35200.0,35200.0,35200.0,35840.0,35840.0,35840.0,35840.0,35840.0,35840.0,35840.0,35840.0,35840.0,40960.0,40960.0,40960.0,35200.0,35200.0,35200.0,35200.0,35200.0,35200.0,35200.0,35200.0,35200.0,35200.0,35200.0,35200.0,35200.0,35200.0,35200.0,35200.0,35200.0,35200.0,35200.0,35200.0,35200.0,35200.0,35200.0,35200.0,35200.0,35200.0,35200.0,35200.0,35200.0,35200.0,35200.0,35200.0,35200.0,35200.0,35200.0,35200.0
DRAM Output Writes,65800.0,65800.0,65800.0,526400.0,526400.0,526400.0,1052800.0,1052800.0,1052800.0,2105600.0,2105600.0,2105600.0,4211200.0,4211200.0,4211200.0,8422400.0,8422400.0,8422400.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0,65800.0
Total Weights Programming Cycles,550.0,550.0,550.0,550.0,550.0,550.0,1100.0,1100.0,1100.0,1650.0,1650.0,1650.0,3300.0,3300.0,3300.0,6050.0,6050.0,6050.0,1100.0,1100.0,1100.0,330.0,330.0,330.0,220.0,220.0,220.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,1095.0,1095.0,1095.0,275.0,275.0,275.0,140.0,140.0,140.0,70.0,70.0,70.0,35.0,35.0,35.0,20.0,20.0,20.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0
Total Vector Segments Processed,904750.0,904750.0,904750.0,7238000.0,7238000.0,7238000.0,14476000.0,14476000.0,14476000.0,28952000.0,28952000.0,28952000.0,57904000.0,57904000.0,57904000.0,115808000.0,115808000.0,115808000.0,1809500.0,1809500.0,1809500.0,542850.0,542850.0,542850.0,361900.0,361900.0,361900.0,180950.0,180950.0,180950.0,180950.0,180950.0,180950.0,180950.0,180950.0,180950.0,1801275.0,1801275.0,1801275.0,452375.0,452375.0,452375.0,230300.0,230300.0,230300.0,115150.0,115150.0,115150.0,57575.0,57575.0,57575.0,32900.0,32900.0,32900.0,904750.0,904750.0,904750.0,904750.0,904750.0,904750.0,904750.0,904750.0,904750.0,904750.0,904750.0,904750.0,904750.0,904750.0,904750.0,904750.0,904750.0,904750.0,904750.0,904750.0,904750.0,904750.0,904750.0,904750.0,904750.0,904750.0,904750.0,904750.0,904750.0,904750.0,904750.0,904750.0,904750.0,904750.0,904750.0,904750.0
Accumulator Dumps,1.0,1.0,1.0,5.0,5.0,5.0,10.0,10.0,10.0,15.0,15.0,15.0,30.0,30.0,30.0,55.0,55.0,55.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ADCs Area,0.24,0.28,0.38,0.24,0.28,0.38,0.24,0.28,0.38,0.24,0.28,0.38,0.24,0.28,0.38,0.24,0.28,0.38,0.12,0.14,0.19,0.48,0.56,0.76,0.96,1.12,1.52,1.92,2.24,3.04,3.84,4.48,6.08,7.68,8.96,12.16,0.24,0.28,0.38,0.24,0.28,0.38,0.24,0.28,0.38,0.24,0.28,0.38,0.24,0.28,0.38,0.24,0.28,0.38,0.24,0.28,0.38,0.24,0.28,0.38,0.24,0.28,0.38,0.24,0.28,0.38,0.24,0.28,0.38,0.24,0.28,0.38,0.24,0.28,0.38,0.24,0.28,0.38,0.24,0.28,0.38,0.24,0.28,0.38,0.24,0.28,0.38,0.24,0.28,0.38
PS Area,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ODAC Drivers Area,0.0096,0.0096,0.0096,0.0096,0.0096,0.0096,0.0096,0.0096,0.0096,0.0096,0.0096,0.0096,0.0096,0.0096,0.0096,0.0096,0.0096,0.0096,0.0096,0.0096,0.0096,0.0096,0.0096,0.0096,0.0096,0.0096,0.0096,0.0096,0.0096,0.0096,0.0096,0.0096,0.0096,0.0096,0.0096,0.0096,0.0048,0.0048,0.0048,0.0192,0.0192,0.0192,0.0384,0.0384,0.0384,0.0768,0.0768,0.0768,0.1536,0.1536,0.1536,0.3072,0.3072,0.3072,0.0096,0.0096,0.0096,0.0096,0.0096,0.0096,0.0096,0.0096,0.0096,0.0096,0.0096,0.0096,0.0096,0.0096,0.0096,0.0096,0.0096,0.0096,0.0096,0.0096,0.0096,0.0096,0.0096,0.0096,0.0096,0.0096,0.0096,0.0096,0.0096,0.0096,0.0096,0.0096,0.0096,0.0096,0.0096,0.0096
