,filler name
Systolic Array Rows,16
Systolic Array Cols,16
SRAM Input Size,64000
SRAM Filter Size,64000
SRAM Output Size,64000
DRAM Bandwidth Mode,0
Batch Size,1
SRAM Input Reads,217472048
SRAM Filter Reads,25502912
SRAM Output Writes,218100224
DRAM Input Reads,8030208
DRAM Filter Reads,25502912
DRAM Output Writes,218100224
Total Weights Programming Cycles,212120
Total Vector Segments Processed,13365692
