,filler name
Systolic Array Rows,32
Systolic Array Cols,32
SRAM Input Size,64000
SRAM Filter Size,64000
SRAM Output Size,64000
DRAM Bandwidth Mode,0
Batch Size,1
SRAM Input Reads,108737048
SRAM Filter Reads,25502912
SRAM Output Writes,109050112
DRAM Input Reads,8030208
DRAM Filter Reads,25502912
DRAM Output Writes,109050112
Total Weights Programming Cycles,52954
Total Vector Segments Processed,3341564
