,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name
DRAM Filter Reads,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0
DRAM Output Writes,230400.0,230400.0,230400.0,230400.0,230400.0,230400.0,230400.0,230400.0,230400.0,230400.0,230400.0,230400.0,230400.0,230400.0,230400.0,230400.0,230400.0,230400.0,230400.0,230400.0,230400.0,230400.0,230400.0,230400.0,230400.0,230400.0,230400.0,230400.0,230400.0,230400.0,230400.0,230400.0,230400.0,230400.0,230400.0,230400.0,230400.0,230400.0,230400.0,230400.0,230400.0,230400.0,230400.0,230400.0,230400.0,230400.0,230400.0,230400.0,230400.0
Total Weights Programming Cycles,32768.0,16384.0,8192.0,4096.0,2048.0,1024.0,512.0,16384.0,8192.0,4096.0,2048.0,1024.0,512.0,256.0,8192.0,4096.0,2048.0,1024.0,512.0,256.0,128.0,4096.0,2048.0,1024.0,512.0,256.0,128.0,64.0,2048.0,1024.0,512.0,256.0,128.0,64.0,32.0,1024.0,512.0,256.0,128.0,64.0,32.0,16.0,512.0,256.0,128.0,64.0,32.0,16.0,8.0
Total Vector Segments Processed,7372800.0,3686400.0,1843200.0,921600.0,460800.0,230400.0,115200.0,3686400.0,1843200.0,921600.0,460800.0,230400.0,115200.0,57600.0,1843200.0,921600.0,460800.0,230400.0,115200.0,57600.0,28800.0,921600.0,460800.0,230400.0,115200.0,57600.0,28800.0,14400.0,460800.0,230400.0,115200.0,57600.0,28800.0,14400.0,7200.0,230400.0,115200.0,57600.0,28800.0,14400.0,7200.0,3600.0,115200.0,57600.0,28800.0,14400.0,7200.0,3600.0,1800.0
Accumulator Dumps,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
ADCs Area,0.19,0.38,0.76,1.52,3.04,6.08,12.16,0.19,0.38,0.76,1.52,3.04,6.08,12.16,0.19,0.38,0.76,1.52,3.04,6.08,12.16,0.19,0.38,0.76,1.52,3.04,6.08,12.16,0.19,0.38,0.76,1.52,3.04,6.08,12.16,0.19,0.38,0.76,1.52,3.04,6.08,12.16,0.19,0.38,0.76,1.52,3.04,6.08,12.16
PS Area,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ODAC Drivers Area,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0096,0.0096,0.0096,0.0096,0.0096,0.0096,0.0096,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0384,0.0384,0.0384,0.0384,0.0384,0.0384,0.0384,0.0768,0.0768,0.0768,0.0768,0.0768,0.0768,0.0768,0.1536,0.1536,0.1536,0.1536,0.1536,0.1536,0.1536,0.3072,0.3072,0.3072,0.3072,0.3072,0.3072,0.3072
PCM Heaters Area,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRM Heaters Area,0.0276,0.0276,0.0552,0.0828,0.138,0.2484,0.4692,0.0276,0.0276,0.0552,0.0828,0.138,0.2484,0.4692,0.0552,0.0552,0.0552,0.0828,0.138,0.2484,0.4692,0.0828,0.0828,0.0828,0.1104,0.1656,0.276,0.4968,0.138,0.138,0.138,0.1656,0.2208,0.3312,0.552,0.2484,0.2484,0.2484,0.276,0.3312,0.4416,0.6624,0.4692,0.4692,0.4692,0.4968,0.552,0.6624,0.8832
SRAM Area,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672
DRAM Area,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
